代码,行业,市值$B,财报判定,综合决策,买入区
TME,互联网/传媒,15,混合,观望,$7-7.5
EXPE,互联网/旅游,37,超预期,观望,$250-270
NTES,互联网/游戏,84,—,观望,$108–125
GDDY,互联网软件,12,超预期,观望,
FOX,传媒,24,超预期,观望,$44-47
FOXA,传媒,27,超预期,观望,$44-47
SIRI,传媒/娱乐,10,混合,观望,$22-24
CMCSA,传媒/电信,90,超预期,观望,等信号：宽带净流失<1%
AFG,保险,12,超预期,观望,$118-130
AIG,保险,42,混合,观望,$70-75
ALL,保险,68,超预期,观望,$230-245
CINF,保险,27,混合,观望,$140-155
CNA,保险,14,超预期,观望,$43–45
GL,保险,14,低于预期,观望,$155-$165
HIG,保险,39,混合,观望,$115-$125
MFC,保险,74,超预期,观望,2-3
ORI,保险,10,混合,观望,$35-43
PRI,保险,10,—,观望,$270-300
PRU,保险,42,—,观望,$100-110
SLF,保险,46,混合,观望,$65-72
TRV,保险,80,超预期,观望,$300-330
WRB,保险,27,超预期,观望,$60-66
FNF,保险/产权保险,14,超预期,观望,$42-46
ACGL,保险/再保险,34,混合,观望,$85-90
EG,保险/再保险,14,超预期,观望,2-3
RNR,保险/再保险,13,混合,观望,$250-290
MKL,保险/多元化,23,低于预期,观望,530-$1
PFG,保险/资管,24,混合,观望,$85-95
AON,保险经纪,76,—,观望,$320–345
ES,公用事业,27,低于预期,观望,2026-11
KEP,公用事业,16,—,观望,$9.0–10.5
PEG,公用事业,38,超预期,观望,
EVR,券商/投行,12,混合,观望,$260-290
JEF,券商/投行,11,低于预期,观望,$42-45
RJF,券商/投行/财富管理,34,—,观望,$140-160
AVY,包装/材料,13,超预期,观望,7-8
BALL,包装/金属包装,17,超预期,观望,
CCK,包装/金属包装,13,超预期,观望,$100-$110
PPG,化工/涂料,27,低于预期,观望,$95-110
CF,化肥/化工,18,—,**回避**,$85-95
NTR,化肥/化工,31,低于预期,观望,$55-58
DVA,医疗保健服务,12,—,**回避**,$145–$160
THC,医疗保健服务,21,超预期,观望,$200–220
UHS,医疗保健服务,11,超预期,观望,$140–155
BSX,医疗器械,71,超预期,观望,
GEHC,医疗器械,32,超预期,观望,$55-60
SNN,医疗器械,13,低于预期,观望,$24-27
UMC,半导体/晶圆代工,47,超预期,观望,$15-17
LVS,博彩/酒店,30,低于预期,观望,$38-42
NOC,国防,81,低于预期,观望,$500-540
LDOS,国防/IT服务,17,低于预期,**买入**,$120-130
L,多元化/保险,24,符合预期,观望,$95-$105
LII,工业/暖通空调,15,低于预期,观望,$350-400
PNR,工业/水处理,11,低于预期,观望,$55-$62
MLI,工业/金属加工,15,超预期,观望,$50-56
TS,工业/钢管,28,混合,观望,$40-45
MAS,建材/卫浴,15,低于预期,观望,$60-65
CRH,建材/工业,67,混合,观望,$80-92
DHI,房地产/住宅建筑,42,超预期,**回避**,$100-120
NVR,房地产/住宅建筑,17,低于预期,观望,"$4,900-5,500"
PHM,房地产/住宅建筑,25,超预期,观望,$105-$120
TOL,房地产/住宅建筑,14,超预期,观望,$135-$145
OHI,房地产/医疗REIT,15,混合,观望,2026-10
VICI,房地产/博彩REIT,29,符合预期,观望,$23-24
SPG,房地产/商业REIT,72,超预期,观望,$190-205
HST,房地产/酒店REIT,16,混合,观望,$19.50–21.65
FSLR,新能源/光伏,27,超预期,观望,$200-215
CCL,旅游/邮轮,40,混合,观望,$23-26
PAAS,有色金属/白银,22,超预期,观望,$40-42
HBM,有色金属/矿业,12,低于预期,观望,$16-20
TECK,有色金属/矿业,33,超预期,**回避**,$50-56
AA,有色金属/铝业,13,混合,观望,600-2
DECK,服装/鞋类,13,低于预期,观望,$85-90
LULU,服装/鞋类,14,低于预期,观望,$100–115
NKE,服装/鞋类,62,低于预期,观望,
SUZ,材料/纸浆,10,低于预期,观望,$3-5.8
CPRT,汽车服务/工业,27,超预期,观望,$24-28
HAL,油服,27,—,观望,$27-30
BKR,油服/能源设备,61,超预期,观望,$50-57
APA,油气,13,—,观望,$26-31
CNQ,油气,95,超预期,观望,WTI回调或$40以下分批
CVE,油气,53,低于预期,观望,$24-25
DVN,油气,47,超预期,观望,0.5-1
E,油气,84,混合,观望,$40-46
EC,油气,34,超预期,观望,$11-13
EOG,油气,71,超预期,观望,$70-75
EQNR,油气,97,混合,观望,$30-33
OVV,油气,17,超预期,观望,$45–52
OXY,油气,56,混合,观望,$65-70
PR,油气,17,—,观望,$14-17
SU,油气,70,—,观望,$48-52
CQP,油气/LNG,31,超预期,观望,$50-58
LNG,油气/LNG,54,—,观望,$225–245
AR,油气/天然气,11,超预期,观望,
EQT,油气/天然气,32,混合,观望,$47-49
EXE,油气/天然气,21,混合,观望,$82-88
MPC,油气/炼油,84,混合,观望,$170–210
PSX,油气/炼油,81,超预期,**回避**,$110-130
VLO,油气/炼油,86,超预期,观望,$180-220
KMI,油气/管道基础设施,69,超预期,观望,$27-29
OKE,油气/管道基础设施,54,超预期,观望,$78-80
WES,油气/管道基础设施,19,超预期,观望,$42–43
HAS,消费/玩具,13,—,观望,$70-80
HTHT,消费/酒店,13,混合,观望,$36-40
QSR,消费/餐饮,34,超预期,观望,$58-65
YUMC,消费/餐饮,17,超预期,观望,$40-42
LOGI,消费电子,15,超预期,观望,$85–95
UPS,物流,89,超预期,观望,$80–90
ZTO,物流,18,超预期,观望,$20-22
EXEL,生物医药,13,低于预期,观望,$40–46
INCY,生物医药,24,—,观望,$85-100
JAZZ,生物医药,17,低于预期,观望,$210-260
REGN,生物医药,81,超预期,观望,$650-$720
UTHR,生物医药,23,混合,观望,$420-470
ZTS,生物医药/动物保健,30,低于预期,观望,$52-62
AMX,电信,71,混合,观望,$18-20
BCE,电信,21,超预期,**回避**,$18-20
RCI,电信,19,超预期,观望,$26-28
TLK,电信,15,超预期,观望,$11.0-$13.5
VIV,电信,19,低于预期,观望,$10.0–11.0
CHTR,电信/有线电视,18,—,观望,$115-$130
DAL,航空,60,混合,观望,$70-$78
LTM,航空,16,超预期,观望,$38-43
RYAAY,航空,32,低于预期,观望,$20-23
UAL,航空,42,低于预期,观望,$95-110
TXT,航空/国防,15,低于预期,观望,$78–85
AMP,资管,50,混合,观望,$480-520
TROW,资管,24,混合,观望,$100-108
